placename	latitude	longitude
Wadi Gaza	15	21.5
Bosnia	44	18
Sri Lanka	7.75	80.75
Republic Of South Africa	7	21
Pa	12.66667	-3.95
Oslo	59.91273	10.74609
Cairo	30.06263	31.24967
New York	40.71427	-74.00597
Belarus	53	28
Ebel Elsaqi	33.35667	35.62639
Entebbe Uganda	0.04239	32.4435
Sierra Leone	8.5	-11.5
Drc	-17.98192	20.76806
Adoniaayebare	NA	NA
Namibia	-22	17
Shadi	34.84836	60.42347
Khreis	25.05944	48.06389
Northern Gaza	54.77535	-105.64453
Malta	35.91667	14.43333
Gulf Of Oman	8.5	79
Ankara	39.91987	32.85427
Aqaba	29.52667	35.00778
California	37.25022	-119.75126
Panjgur	26.75	64
Sistanbaluchestan Province	28.5	60.5
Islamabad	33.72148	73.04329
Islamic Republic Of Iran	32	53
Repjayapal	38.88729915	-77.01052855
Repcori	NA	NA
Basedmikelee	NA	NA
Texas	31.25044	-99.25061
Republic Of Korea	24	121
Libya	28	17
Kosovo	42.58333	20.91667
Sabra	34.83042	-1.547
Shatila	42.65879	45.15632
Kyiv	50.45466	30.5238
Somalia	6	48
Yemen Red Sea	12.79891	45.03313
Rawaa	32.15232084	36.09379823
Almawasi District	14.3656	44.7778
Cameroon	6	12.5
Alahli	31.99979457	35.84661785
Egypt Sinai Peninsula	31.19518	29.90976
Philadelphi	NA	NA
Karem Abu Salem	30.486	31.60823
Kerem Shalom	31.22777	34.28459
Greece	39	22
Dubai	25.07725	55.30927
Bab Almandeb	12.60416	43.33557
Yemen Southern Coast	12.79891	45.03313
Riyadh	24.68773	46.72185
Yaroun	33.08028	35.4225
Lebanon Nabatieh	37.83451	-85.7319
Yiron	33.07757	35.4546
Avivim	33.08892	35.47228
Israel Goren	41.68181	-70.27889
Herzegovina	43	17.83333
Montenegro	42.75	19.25
Silicon Valley	37.37	-122.04
Beit Shemesh	31.73072	34.99293
Santa Clara	22.40694	-79.96472
Moldova	47.25	28.58333
Bern	46.94809	7.44744
Zurich	47.36667	8.55
Netivot	31.42305	34.58911
Israelpalestine	NA	NA
Aldabshah	NA	NA
Khirbet Selm	33.22931	35.42407
Bint Jbeil	33.11944	35.43333
Ibil El Saqi	33.35667	35.62639
Altawil	NA	NA
Alkhader	31.69528478	35.17074494
Bekaa Valley	33.83333	36
Litani River	3.3	-54.1
Almazraa Asharqiya	32.00429247	35.27578862
Harvey	41.61003	-87.64671
Tawfiq	33.01842	44.38071
New York City	40.71427	-74.00597
Middle East Eye	33.13906	35.85869
Al Maniya	41	20
Westbank	49.83521	-119.62532
Thameen Darby	NA	NA
Nakba Layer	NA	NA
Mercator	24.93999027	67.07659394
Alaska	64.00028	-150.00028
South America	-14.60485	-57.65625
Asiapacific	24.90270557	67.11561928
Golan Heights	32.90485	35.80725
Crimea	45	34
South China Sea	51.53782	0.71433
Vietnam	16.16667	107.83333
Kashmir	30.33315	63.19089
Darby Nakba	46.0227	-114.17814
Naksbilal	NA	NA
Beit Lahiya	31.5464	34.49514
Almazraa	32.79064228	36.48070857
Mediterranean Sea	35.78	19.33
Ajaq	35.64005	48.84628
Silwad	31.97625	35.2613
Ras Issa	34.11528	35.72278
Hodeidah Province	20.75	-75.91667
Rohtak	28.89447	76.58917
Haryana	29.25	76.33333
Uttar Pradesh	27.25	80.75
Lucknow	26.83928	80.92313
Up	43.62841	6.22477
Bihar	25.75	85.75
West Bengal	19.38333	-71.21667
Benarasiyaa	NA	NA
Haryana Panipat	29.25	76.33333
Thailand	15.5	101
Middle Eastern	33.13906	35.85869
Haryana Jind	29.25	76.33333
Palestinian Territories	31.92157	35.20329
Ansarallah	NA	NA
Majedalansari	32.77909689	36.47470042
Kan	12.00012	8.51672
West Jerusalem	31.78199	35.21961
Bab Al	35.26943	69.68085
Mandeb Strait	4	100
Munich	48.13743	11.57549
Sidon	33.55751	35.37148
Salameh	34.74384	59.97553
Tunisia	34	9
Zawayda	31.43053108	34.37164316
Beit Hanoon	31.5353	34.53579
La France	45.20507	5.74629
Eurasia	87	80
Heliopolis	36.50361	7.44278
Alfawakhir	NA	NA
Levant	34	36
Gaza City Zeitoun	41.72621	-72.44008
Old City Of Gaza	38.53998	-109.49567
Mecca	21.42664	39.82563
Gaza Daraj	31.50161	34.46672
Almasjid Alomari Alkabir	35.13444	36.74545
Byzantium	41.01384	28.94966
Via Maris	47.87844	27.16671
Zeitoun	34.06222	35.68528
Anthedon	38.49842	23.44886
Balakhiyah	NA	NA
Tida	31.24415	30.83845
Tell Elajjul	36.53984	40.61373
Calves Hill	42.27426	-71.32284
Cyprus	35.00304	32.98791
Daraj	33.24567	59.54541
Ahmadiyyah Zawiya	32.76317487	NA
Seychelles	-4.58333	55.66667
Maldives	3.2	73
Columbia	4	-73.25
Istanbul	41.01384	28.94966
Crete	35.15585	24.89502
Bureij	31.43944	34.40306
Almahatta	25.34839261	55.39416747
Mozambique	-18.25	35
Bulgaria	42.66667	25.25
Al Jazeera	14.6	33.35
Almawasi	31.3490372	34.2560072
Idlib	35.93062	36.63393
Detroit	42.33143	-83.04575
Southeast Michigan	43.96102	-83.71087
Arab America	25	45
Jarrah	24.05	54.1
Wayne County	-36.75	175
Minnesota	46.25024	-94.25055
Des Moines	41.60054	-93.60911
Iowa	42.00027	-93.50049
Cedar Rapids	42.00833	-91.64407
Iowa City	41.66113	-91.53017
South Asia	21.28937	78.66211
Florida	28.75054	-82.5001
New York Ellis Island	40.71427	-74.00597
Ohio	40.25034	-83.00018
Shujayea	31.50170634	34.47029186
Dahiyeb	33.70546659110889 35.464541950247366	35.46454195
Aroura	38.92219	-111.93409
Alarouri	31.914848	35.2219848
Almughraqa	NA	NA
Almaghazi	31.42279487	34.38554469
Maghazi Roads	43.84258	-68.88115
Deir Albalah	31.41834	34.34933
Houthi	NA	NA
Altanf	33.49019752	38.66439423
Hashemite Kingdom Of Jordan	31	36
Dahiya	8.0264	80.533
Jamaa Islamiya	35.46804	-5.70106
Geneva	46.20222	6.14569
Ashdod	31.79213	34.64966
Hebrew	45.4627849	-73.67119802
Mackinac Island	43.68897	-70.2331
Great Lakes	26.50687	127.94581
Lake Michigan	44.00778	-86.75698
Beit Nabala	31.5464	34.49514
Syria Damascus	33.26954	35.19626
Mazzeh	45.46821383	-73.6510023
Borj El Barajneh	33.84347	35.49874
West Beirut	51.48653	-0.40583
Beirut Hamra	33.89332	35.50157
Hamra	31.81088	-8.27151
West Beirutis	19.38333	-71.21667
Dabbouch	NA	NA
East Beirut	37.02332	-77.36954
Israel Haifa	41.68181	-70.27889
Estonia	59	26
Bab Elmandeb Strait	12.60416	43.33557
Southern Red Sea	21.28937	78.66211
Africa Cape Of Good Hope	18.31281	-4.83398
Eastern Mediterranean	39.42657	41.23464
Eilat	29.55805	34.94821
Dead Sea	44.86777	-73.62391
Eastern Mediterranean Region	39.42657	41.23464
Hamoud	15.64004	-11.51864
Taalbaya	33.81763318	35.86427896
Rashidiya	25.22499	55.38947
Maroun El Ras	33.10381	35.4444
Rmeish	33.07899183	35.36895208
Miraj	16.8671	74.70146
Tal Alhawa	-36.72494	-73.11684
Zarahsultana	52.4044648	-1.503049047
Gisha	-1.744	29.9586
Bani Naim	15.88333	43.78333
Raanana	32.1836	34.87386
Sderot	31.525	34.59693
Nir Am	31.51959	34.58006
Mefalsim	31.50125	34.5637
Hanita	33.08746	35.17364
Mattat	33.04134	35.35858
Margaliot	33.2164939	35.54432331
Adamit	33.07971	35.21103
Zarit	33.09955	35.2889
Malkia	60.75482	24.06197
Jordan River	31	36
Alborz	36.01117	50.80956
Southern Africa	-27.11781	22.28027
Venezuela	8	-66
Hormuz	27.5026	54.2839
Arabian Gulf	26.35058	50.16805
Kanaker	40.22302	44.53986
Sarit	35.47569	71.45229
Aleppo	36.20124	37.16117
Gazas	-23.5	33
Tomwhitegaza	NA	NA
Entebbe	0.05621	32.47949
Central Gaza Strip	-2.02107	24.69727
Alaqsa	31.77620598	35.23583384
Syria Golan Heights	35	38
Kurdistan	37	44
Panjgur Pakistan Balochistan Province	48.11313	16.86215
Redsea	20.46612011	38.47379322
Walla	-2.85662	33.32102
Rwanda	-2	30
East Timor	-8.83333	125.75
Kabul	34.52813	69.17233
Azzahra	19.11437	41.91694
Hamad	31.40307	48.45684
State Of Qatar	25.5	51.25
Qffd	25.32919873	51.52615385
Melbourne Australia	-37.67333	144.84333
Melbourne	-37.814	144.96332
Sandridge Beach	-37.83931	144.91747
Zim Ganges	45.06873	-83.54131
Sydney	-33.86785	151.20732
Brisbane	-27.46794	153.02809
Northgaza	31.56741928	34.51225917
Palestine_Un	NA	NA
Taiz Province	13.5	44
Dena	28.44289	90.28327
Oakland	37.80437	-122.2708
Akrotiri	36.35796	25.3976
Limassol	34.68406	33.03794
Pashias	35.08438662	33.39954382
Anadolu	39	35
Nevatim	31.22417	34.88098
Republic Of Cyprus	24	121
Dhekelia	35.01667	33.775
Usa	39.76	-98.5
League Of Arab States	29.75634	-94.97187
Alsaftawi	NA	NA
El Amal City Hospital	32.893	0.54839
Alamal	31.39064	37.3146
Alnasser	NA	NA
Alkatiba	NA	NA
Cape Town	-33.92584	18.42322
South Africansfrom	38.02807	-97.94033
Africa4Palestine	-26.13848734	28.01783332
Western Cape Province	40.64575	-79.91382
Paltel	32.08712	35.18388
Jawwal	31.2804215	34.26963198
Salem	44.9429	-123.0351
Copenhagen	55.67594	12.56553
